,Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr), ,Turnover (â‚¹ Cr),CPR,CPRh,CPRl,R1,R2,R3,S1,S2,S3,CPRWidth,crossed,worked
10,24-NOV-2015,7837.0,7870.35,7812.65,7831.6,134562905.0,6686.27,,,7850.333333333333,7849.666666666666,7851.0,7875.666666666666,7902.333333333333,7927.666666666666,7823.666666666666,7798.333333333333,7771.666666666666,0.016984416797595936,RS1,N
11,26-NOV-2015,7837.15,7897.1,7832.0,7883.8,226632193.0,11054.04,,,7837.666666666667,7834.333333333334,7841.0,7863.333333333334,7895.666666666667,7921.333333333334,7805.333333333334,7779.666666666667,7747.333333333334,0.08505932888188739,R2S,Y
12,27-NOV-2015,7910.6,7959.3,7879.45,7942.7,154863047.0,7068.72,,,7870.666666666667,7876.833333333334,7864.5,7909.333333333334,7935.666666666667,7974.333333333334,7844.333333333334,7805.666666666667,7779.333333333334,0.156699983059469,R2S,Y
13,30-NOV-2015,7936.25,7966.0,7922.8,7935.25,223041699.0,15368.67,,,7926.666666666667,7934.333333333334,7919.0,7974.333333333334,8006.666666666667,8054.333333333334,7894.333333333334,7846.666666666667,7814.333333333334,0.19343986543314473,RS,N
14,01-DEC-2015,7958.15,7972.15,7934.15,7954.9,142945421.0,6796.67,,,7941.0,7938.0,7944.0,7960.0,7985.0,8004.0,7916.0,7897.0,7872.0,0.07555723460521345,R1S,N
15,02-DEC-2015,7976.7,7979.3,7910.8,7931.35,130207404.0,6242.53,,,7953.333333333333,7953.666666666666,7953.0,7972.666666666666,7991.333333333333,8010.666666666666,7934.666666666666,7915.333333333333,7896.666666666666,0.00838222967308542,R1S2,Y
16,03-DEC-2015,7902.3,7912.3,7853.3,7864.15,129628400.0,5636.41,,,7940.0,7935.5,7944.5,7970.0,8009.0,8039.0,7901.0,7871.0,7832.0,0.11335012594458438,RS2,Y
17,04-DEC-2015,7817.6,7821.4,7775.7,7781.9,157231681.0,7758.36,,,7876.333333333333,7870.166666666666,7882.5,7899.666666666666,7935.333333333333,7958.666666666666,7840.666666666666,7817.333333333333,7781.666666666666,0.1565872444877135,RS3,Y
18,07-DEC-2015,7816.55,7825.4,7746.05,7765.4,141893279.0,6403.97,,,7792.333333333333,7786.666666666666,7798.0,7809.666666666666,7838.333333333333,7855.666666666666,7763.666666666666,7746.333333333333,7717.666666666666,0.1454421012105994,R1S1,N
19,08-DEC-2015,7738.5,7771.25,7685.45,7701.7,139318392.0,5986.06,,,7778.666666666667,7771.833333333334,7785.5,7811.333333333334,7857.666666666667,7890.333333333334,7732.333333333334,7699.666666666667,7653.333333333334,0.17569420637640634,RS2,Y
20,09-DEC-2015,7695.5,7702.85,7606.9,7612.5,144315690.0,6599.6,,,7719.0,7710.0,7728.0,7753.0,7805.0,7839.0,7667.0,7633.0,7581.0,0.2331908278274388,RS2,Y
21,10-DEC-2015,7643.3,7691.95,7610.0,7683.3,145249292.0,6492.02,,,7640.0,7626.0,7654.0,7674.0,7736.0,7770.0,7578.0,7544.0,7482.0,0.36649214659685864,R1S,Y
22,11-DEC-2015,7699.6,7703.05,7575.3,7610.45,172996480.0,6894.44,,,7661.333333333333,7672.166666666666,7650.5,7712.666666666666,7742.333333333333,7793.666666666666,7631.666666666666,7580.333333333333,7550.666666666666,0.2828054298642455,RS2,Y
23,14-DEC-2015,7558.2,7663.95,7551.05,7650.05,153492615.0,6290.42,,,7629.333333333333,7619.666666666666,7639.0,7683.666666666666,7757.333333333333,7811.666666666666,7555.666666666666,7501.333333333333,7427.666666666666,0.2534078993359045,RS1,Y
24,15-DEC-2015,7659.15,7705.0,7625.1,7700.9,138479057.0,6152.14,,,7621.333333333333,7635.666666666666,7607.0,7691.666666666666,7733.333333333333,7803.666666666666,7579.666666666666,7509.333333333333,7467.666666666666,0.37613715885233634,R1S,Y
25,16-DEC-2015,7725.25,7776.6,7715.75,7750.9,159149338.0,6703.76,,,7676.666666666667,7688.333333333334,7665.0,7728.333333333334,7756.666666666667,7808.333333333334,7648.333333333334,7596.666666666667,7568.333333333334,0.3039513677811629,R2S,N
26,17-DEC-2015,7783.05,7852.9,7737.55,7844.35,181256780.0,7367.15,,,7747.0,7748.5,7745.5,7779.0,7808.0,7840.0,7718.0,7686.0,7657.0,0.038724667613269655,R3S,Y
27,18-DEC-2015,7828.9,7836.15,7753.35,7761.95,197319843.0,8074.5,,,7811.0,7827.5,7794.5,7885.0,7926.0,8000.0,7770.0,7696.0,7655.0,0.42248111637434393,RS1,Y
28,21-DEC-2015,7745.65,7840.75,7733.45,7834.45,130174102.0,5558.38,,,7783.333333333333,7772.166666666666,7794.5,7813.666666666666,7866.333333333333,7896.666666666666,7730.666666666666,7700.333333333333,7647.666666666666,0.2869379014989371,R1S,Y
29,22-DEC-2015,7829.4,7846.3,7776.85,7786.1,129633328.0,5028.11,,,7802.333333333333,7818.166666666666,7786.5,7871.666666666666,7909.333333333333,7978.666666666666,7764.666666666666,7695.333333333333,7657.666666666666,0.40586149442473696,RS,Y
30,23-DEC-2015,7830.45,7871.45,7826.1,7865.95,121480721.0,4663.45,,,7802.666666666667,7794.333333333334,7811.0,7829.333333333334,7872.666666666667,7899.333333333334,7759.333333333334,7732.666666666667,7689.333333333334,0.21360218728639002,R1S,Y
31,24-DEC-2015,7888.75,7888.75,7835.5,7861.05,96374245.0,3383.99,,,7854.0,7859.5,7848.5,7882.0,7899.0,7927.0,7837.0,7809.0,7792.0,0.1400560224089636,R1S1,N
32,28-DEC-2015,7863.2,7937.2,7863.0,7925.15,126737811.0,5755.48,,,7861.333333333333,7861.166666666666,7861.5,7887.666666666666,7914.333333333333,7940.666666666666,7834.666666666666,7808.333333333333,7781.666666666666,0.004240162822260088,R2S,Y
33,29-DEC-2015,7929.2,7942.15,7902.75,7928.95,116535971.0,4950.36,,,7908.333333333333,7916.666666666666,7900.0,7953.666666666666,7982.333333333333,8027.666666666666,7879.666666666666,7834.333333333333,7805.666666666666,0.21074815595362775,RS,Y
34,30-DEC-2015,7938.6,7944.75,7889.85,7896.25,110145855.0,4392.87,,,7924.0,7926.0,7922.0,7946.0,7964.0,7986.0,7906.0,7884.0,7866.0,0.05047955577990913,RS1,N
35,31-DEC-2015,7897.8,7955.55,7891.15,7946.35,155645098.0,6780.85,,,7909.666666666667,7902.833333333334,7916.5,7930.333333333334,7964.666666666667,7985.333333333334,7875.333333333334,7854.666666666667,7820.333333333334,0.1727843566943326,R1S,N
36,01-JAN-2016,7938.45,7972.55,7909.8,7963.2,64843836.0,2613.91,,,7930.666666666667,7938.333333333334,7923.0,7970.333333333334,7994.666666666667,8034.333333333334,7906.333333333334,7866.666666666667,7842.333333333334,0.19334229993275814,R1S,N
